County of Residence,Deaths,Number of Cases
Harris,122,6551
Dallas,106,3718
Tarrant,69,2388
Travis,51,1683
Bexar,48,1477
Fort Bend,26,1079
El Paso,22,961
Denton,22,786
Collin,22,766
Potter,9,684
Montgomery,14,629
Galveston,27,614
Lubbock,43,543
Brazoria,6,537
Cameron,18,421
Webb,16,368
Moore,5,363
Hidalgo,6,339
Taylor,5,327
Jefferson,22,318
Williamson,10,306
Walker,2,269
Randall,3,256
Brazos,16,202
Bell,3,193
Nacogdoches,7,172
Hays,1,167
Ellis,6,166
Coryell,2,160
Smith,3,146
Washington,15,145
Victoria,5,139
Panola,3,133
Harrison,6,121
Shelby,4,117
Nueces,3,106
Hardin,3,103
McLennan,4,91
Gregg,0,87
Kaufman,1,87
Guadalupe,0,85
Rockwall,3,85
Bastrop,2,83
Johnson,4,82
Midland,6,82
Ector,4,78
Bowie,2,76
Orange,1,71
Lamar,0,67
Wichita,2,65
Jones,0,62
Matagorda,3,62
Comal,6,58
Gray,0,58
Angelina,0,55
Tom Green,1,50
Hunt,2,48
Liberty,0,45
Chambers,0,43
Grayson,0,38
Wharton,0,37
Brown,5,36
Rusk,1,36
Parker,0,35
Deaf Smith,0,34
Waller,0,33
Wilson,3,33
Anderson,0,32
Calhoun,3,31
Navarro,2,31
Henderson,0,28
Dawson,1,26
Hale,4,26
Donley,0,25
Mason,0,24
Maverick,0,24
Wise,2,24
Gonzales,2,23
Grimes,1,21
Andrews,0,20
Burnet,0,20
Caldwell,0,20
Hockley,1,20
Hood,3,20
Medina,2,20
Polk,0,20
Atascosa,1,19
Fannin,0,19
Ochiltree,1,19
San Augustine,1,19
Jasper,1,18
Cherokee,1,17
Sherman,0,17
Titus,0,17
Hill,1,16
Kendall,0,16
Milam,1,16
Van Zandt,1,16
Cass,0,15
Castro,1,15
De Witt,1,15
Fayette,1,15
Upshur,0,15
Burleson,0,14
Hutchinson,0,14
Marion,0,14
Austin,0,13
Limestone,1,13
Val Verde,0,13
Willacy,1,13
Dallam,1,12
Erath,1,12
San Patricio,0,12
Colorado,0,11
Terry,0,11
Jackson,0,10
Kleberg,1,10
Pecos,0,10
San Jacinto,0,10
Wood,0,10
Starr,0,9
Swisher,0,9
Cooke,0,8
Frio,0,8
Morris,0,8
Palo Pinto,1,8
Parmer,0,8
Trinity,0,8
Wheeler,0,8
Goliad,0,7
Houston,0,7
Zapata,0,7
Bandera,0,6
Bee,0,6
Blanco,0,6
Camp,0,6
Freestone,0,6
Hansford,0,6
Hopkins,0,6
Lavaca,1,6
Leon,0,6
Montague,1,6
Tyler,0,6
Uvalde,0,6
Hamilton,0,5
Hartley,0,5
Kerr,0,5
Live Oak,0,5
Lynn,1,5
Bosque,0,4
Falls,0,4
Howard,1,4
Jack,0,4
Jim Wells,0,4
Lamb,0,4
Lampasas,0,4
Robertson,0,4
Young,1,4
Clay,0,3
Comanche,1,3
Duval,0,3
Eastland,0,3
Floyd,0,3
Garza,0,3
Gillespie,0,3
Jim Hogg,0,3
Karnes,0,3
Llano,0,3
McCulloch,0,3
Oldham,1,3
Winkler,0,3
Aransas,0,2
Armstrong,0,2
Callahan,0,2
Carson,0,2
Cottle,0,2
Crane,0,2
Crosby,1,2
Franklin,0,2
Gaines,0,2
Lee,0,2
Lipscomb,0,2
Martin,0,2
Newton,0,2
Nolan,0,2
Rains,0,2
Roberts,0,2
Runnels,0,2
Scurry,0,2
Brewster,0,1
Briscoe,0,1
Brooks,0,1
Childress,0,1
Cochran,0,1
Coleman,0,1
Concho,0,1
Delta,0,1
Dickens,0,1
Dimmit,0,1
Glasscock,0,1
Hemphill,0,1
Knox,0,1
La Salle,0,1
Madison,0,1
Mitchell,0,1
Motley,0,1
Red River,0,1
Sabine,0,1
Stephens,0,1
Wilbarger,0,1
Yoakum,0,1
Zavala,0,1
