County of Residence,Deaths,Number of Cases
Harris,93,5729
Dallas,82,3014
Tarrant,53,1947
Travis,39,1412
Bexar,43,1254
Fort Bend,21,952
El Paso,12,802
Denton,20,713
Collin,17,663
Galveston,22,541
Montgomery,9,506
Lubbock,40,499
Brazoria,3,449
Cameron,14,366
Webb,15,345
Potter,6,333
Hidalgo,4,308
Moore,3,272
Jefferson,18,268
Williamson,6,262
Taylor,3,222
Walker,2,192
Brazos,16,182
Randall,3,172
Bell,3,165
Hays,1,148
Smith,3,134
Ellis,5,133
Nacogdoches,6,125
Victoria,2,121
Washington,11,113
Coryell,1,105
Shelby,0,98
Nueces,3,94
Hardin,3,92
Harrison,1,86
McLennan,4,82
Panola,1,78
Kaufman,0,74
Midland,5,73
Ector,4,70
Guadalupe,0,69
Bowie,1,68
Gregg,0,66
Orange,0,64
Wichita,2,62
Bastrop,2,59
Johnson,2,58
Matagorda,3,58
Rockwall,1,56
Comal,6,48
Tom Green,1,44
Chambers,0,41
Hunt,2,41
Liberty,0,38
Gray,0,37
Angelina,0,36
Wharton,0,36
Rusk,1,32
Calhoun,2,29
Waller,0,29
Wilson,2,29
Brown,2,28
Navarro,2,28
Deaf Smith,0,25
Donley,0,24
Henderson,0,24
Parker,0,24
Grayson,0,23
Dawson,1,21
Hockley,1,20
Anderson,0,19
Andrews,0,19
Hale,4,19
Medina,2,19
Polk,0,18
Fannin,0,16
Hood,2,16
Kendall,0,16
Maverick,0,16
San Augustine,1,16
Burnet,0,15
De Witt,1,15
Grimes,1,15
Hill,1,15
Titus,0,15
Wise,2,15
Atascosa,1,14
Fayette,1,14
Sherman,0,14
Cass,0,13
Castro,1,13
Hutchinson,0,13
Jones,0,13
Milam,1,13
Upshur,0,13
Van Zandt,1,13
Willacy,1,13
Austin,0,12
Cherokee,1,12
Erath,1,12
Gonzales,1,12
Jasper,0,12
Limestone,1,12
San Patricio,0,12
Val Verde,0,12
Burleson,0,11
Caldwell,0,11
Colorado,0,10
Terry,0,10
Kleberg,1,9
Marion,0,9
Pecos,0,9
San Jacinto,0,9
Swisher,0,9
Dallam,1,8
Lamar,0,8
Trinity,0,8
Goliad,0,7
Palo Pinto,1,7
Starr,0,7
Wood,0,7
Zapata,0,7
Bandera,0,6
Blanco,0,6
Camp,0,6
Jackson,0,6
Montague,1,6
Tyler,0,6
Uvalde,0,6
Bee,0,5
Hamilton,0,5
Kerr,0,5
Lavaca,1,5
Leon,0,5
Live Oak,0,5
Lynn,1,5
Mason,0,5
Morris,0,5
Ochiltree,1,5
Wheeler,0,5
Bosque,0,4
Cooke,0,4
Hansford,0,4
Hartley,0,4
Hopkins,0,4
Houston,0,4
Howard,1,4
Jack,0,4
Parmer,0,4
Young,1,4
Clay,0,3
Comanche,0,3
Eastland,0,3
Falls,0,3
Floyd,0,3
Freestone,0,3
Frio,0,3
Jim Wells,0,3
Karnes,0,3
Lamb,0,3
Llano,0,3
McCulloch,0,3
Oldham,1,3
Winkler,0,3
Aransas,0,2
Armstrong,0,2
Crane,0,2
Crosby,1,2
Duval,0,2
Gaines,0,2
Lampasas,0,2
Lee,0,2
Madison,0,2
Martin,0,2
Newton,0,2
Rains,0,2
Roberts,0,2
Robertson,0,2
Scurry,0,2
Brooks,0,1
Callahan,0,1
Carson,0,1
Childress,0,1
Cochran,0,1
Concho,0,1
Cottle,0,1
Delta,0,1
Dickens,0,1
Dimmit,0,1
Franklin,0,1
Gillespie,0,1
Hemphill,0,1
Jim Hogg,0,1
Knox,0,1
La Salle,0,1
Mitchell,0,1
Motley,0,1
Nolan,0,1
Red River,0,1
Sabine,0,1
Stephens,0,1
Wilbarger,0,1
Yoakum,0,1
Zavala,0,1
